# Knoten des beweglichen Netzes in einem Fenster um die Austrittskante.
shape,i,j,r_m,z_m
pi-1.50,33,154,1.016521408e-05,7.875686139e-06
pi-1.50,34,154,1.035205666e-05,7.875686139e-06
pi-1.50,35,154,1.056377494e-05,7.875686139e-06
pi-1.50,36,154,1.080333583e-05,7.875686139e-06
pi-1.50,37,154,1.107454247e-05,7.875686139e-06
pi-1.50,38,154,1.138175433e-05,7.875686139e-06
pi-1.50,0,155,0.000000000e+00,9.082699459e-06
pi-1.50,1,155,3.457928304e-07,9.082699459e-06
pi-1.50,2,155,7.390462315e-07,9.082699459e-06
pi-1.50,3,155,1.186568459e-06,9.082699459e-06
pi-1.50,4,155,1.696085312e-06,9.082699459e-06
pi-1.50,5,155,2.242036574e-06,9.082699459e-06
pi-1.50,6,155,2.728788634e-06,9.082699459e-06
pi-1.50,7,155,3.156170042e-06,9.082699459e-06
pi-1.50,8,155,3.531869760e-06,9.082699459e-06
pi-1.50,9,155,3.862049691e-06,9.082699459e-06
pi-1.50,10,155,4.151961149e-06,9.082699459e-06
pi-1.50,11,155,4.406719149e-06,9.082699459e-06
pi-1.50,12,155,4.630479836e-06,9.082699459e-06
pi-1.50,13,155,4.827106181e-06,9.082699459e-06
pi-1.50,14,155,5.000000000e-06,9.082699459e-06
pi-1.50,15,155,5.162361207e-06,9.082699459e-06
pi-1.50,16,155,5.345713707e-06,9.082699459e-06
pi-1.50,17,155,5.552871476e-06,9.082699459e-06
pi-1.50,18,155,5.786922010e-06,9.082699459e-06
pi-1.50,19,155,6.051346669e-06,9.082699459e-06
pi-1.50,20,155,6.350333592e-06,9.082699459e-06
pi-1.50,21,155,6.687926793e-06,9.082699459e-06
pi-1.50,22,155,7.069311812e-06,9.082699459e-06
pi-1.50,23,155,7.500000000e-06,9.082699459e-06
pi-1.50,24,155,7.930688188e-06,9.082699459e-06
pi-1.50,25,155,8.312073207e-06,9.082699459e-06
pi-1.50,26,155,8.649666408e-06,9.082699459e-06
pi-1.50,27,155,8.948653331e-06,9.082699459e-06
pi-1.50,28,155,9.213077990e-06,9.082699459e-06
pi-1.50,29,155,9.447128524e-06,9.082699459e-06
pi-1.50,30,155,9.654286293e-06,9.082699459e-06
pi-1.50,31,155,9.837638793e-06,9.082699459e-06
pi-1.50,32,155,1.000000000e-05,9.082699459e-06
pi-1.50,33,155,1.016521408e-05,9.082699459e-06
pi-1.50,34,155,1.035205666e-05,9.082699459e-06
pi-1.50,35,155,1.056377494e-05,9.082699459e-06
pi-1.50,36,155,1.080333583e-05,9.082699459e-06
pi-1.50,37,155,1.107454247e-05,9.082699459e-06
pi-1.50,38,155,1.138175433e-05,9.082699459e-06
pi-1.50,0,156,0.000000000e+00,1.044950168e-05
pi-1.50,1,156,3.457928304e-07,1.044950168e-05
pi-1.50,2,156,7.390462315e-07,1.044950168e-05
pi-1.50,3,156,1.186568459e-06,1.044950168e-05
pi-1.50,4,156,1.696085312e-06,1.044950168e-05
pi-1.50,5,156,2.242036574e-06,1.044950168e-05
pi-1.50,6,156,2.728788634e-06,1.044950168e-05
pi-1.50,7,156,3.156170042e-06,1.044950168e-05
pi-1.50,8,156,3.531869760e-06,1.044950168e-05
pi-1.50,9,156,3.862049691e-06,1.044950168e-05
pi-1.50,10,156,4.151961149e-06,1.044950168e-05
pi-1.50,11,156,4.406719149e-06,1.044950168e-05
pi-1.50,12,156,4.630479836e-06,1.044950168e-05
pi-1.50,13,156,4.827106181e-06,1.044950168e-05
pi-1.50,14,156,5.000000000e-06,1.044950168e-05
pi-1.50,15,156,5.162361207e-06,1.044950168e-05
pi-1.50,16,156,5.345713707e-06,1.044950168e-05
pi-1.50,17,156,5.552871476e-06,1.044950168e-05
pi-1.50,18,156,5.786922010e-06,1.044950168e-05
pi-1.50,19,156,6.051346669e-06,1.044950168e-05
pi-1.50,20,156,6.350333592e-06,1.044950168e-05
pi-1.50,21,156,6.687926793e-06,1.044950168e-05
pi-1.50,22,156,7.069311812e-06,1.044950168e-05
pi-1.50,23,156,7.500000000e-06,1.044950168e-05
pi-1.50,24,156,7.930688188e-06,1.044950168e-05
pi-1.50,25,156,8.312073207e-06,1.044950168e-05
pi-1.50,26,156,8.649666408e-06,1.044950168e-05
pi-1.50,27,156,8.948653331e-06,1.044950168e-05
pi-1.50,28,156,9.213077990e-06,1.044950168e-05
pi-1.50,29,156,9.447128524e-06,1.044950168e-05
pi-1.50,30,156,9.654286293e-06,1.044950168e-05
pi-1.50,31,156,9.837638793e-06,1.044950168e-05
pi-1.50,32,156,1.000000000e-05,1.044950168e-05
pi-1.50,33,156,1.016521408e-05,1.044950168e-05
pi-1.50,34,156,1.035205666e-05,1.044950168e-05
pi-1.50,35,156,1.056377494e-05,1.044950168e-05
pi-1.50,36,156,1.080333583e-05,1.044950168e-05
pi-1.50,37,156,1.107454247e-05,1.044950168e-05
pi-1.50,38,156,1.138175433e-05,1.044950168e-05
pi-1.50,0,157,0.000000000e+00,1.199702223e-05
pi-1.50,1,157,3.457928304e-07,1.199702223e-05
pi-1.50,2,157,7.390462315e-07,1.199702223e-05
pi-1.50,3,157,1.186568459e-06,1.199702223e-05
pi-1.50,4,157,1.696085312e-06,1.199702223e-05
pi-1.50,5,157,2.242036574e-06,1.199702223e-05
pi-1.50,6,157,2.728788634e-06,1.199702223e-05
pi-1.50,7,157,3.156170042e-06,1.199702223e-05
pi-1.50,8,157,3.531869760e-06,1.199702223e-05
pi-1.50,9,157,3.862049691e-06,1.199702223e-05
pi-1.50,10,157,4.151961149e-06,1.199702223e-05
pi-1.50,11,157,4.406719149e-06,1.199702223e-05
pi-1.50,12,157,4.630479836e-06,1.199702223e-05
pi-1.50,13,157,4.827106181e-06,1.199702223e-05
pi-1.50,14,157,5.000000000e-06,1.199702223e-05
pi-1.50,15,157,5.162361207e-06,1.199702223e-05
pi-1.50,16,157,5.345713707e-06,1.199702223e-05
pi-1.50,17,157,5.552871476e-06,1.199702223e-05
pi-1.50,18,157,5.786922010e-06,1.199702223e-05
pi-1.50,19,157,6.051346669e-06,1.199702223e-05
pi-1.50,20,157,6.350333592e-06,1.199702223e-05
pi-1.50,21,157,6.687926793e-06,1.199702223e-05
pi-1.50,22,157,7.069311812e-06,1.199702223e-05
pi-1.50,23,157,7.500000000e-06,1.199702223e-05
pi-1.50,24,157,7.930688188e-06,1.199702223e-05
pi-1.50,25,157,8.312073207e-06,1.199702223e-05
pi-1.50,26,157,8.649666408e-06,1.199702223e-05
pi-1.50,27,157,8.948653331e-06,1.199702223e-05
pi-1.50,28,157,9.213077990e-06,1.199702223e-05
pi-1.50,29,157,9.447128524e-06,1.199702223e-05
pi-1.50,30,157,9.654286293e-06,1.199702223e-05
pi-1.50,31,157,9.837638793e-06,1.199702223e-05
pi-1.50,32,157,1.000000000e-05,1.199702223e-05
pi-1.50,33,157,1.016521408e-05,1.199702223e-05
pi-1.50,34,157,1.035205666e-05,1.199702223e-05
pi-1.50,35,157,1.056377494e-05,1.199702223e-05
pi-1.50,36,157,1.080333583e-05,1.199702223e-05
pi-1.50,37,157,1.107454247e-05,1.199702223e-05
pi-1.50,38,157,1.138175433e-05,1.199702223e-05
pi-1.50,0,158,0.000000000e+00,1.374957050e-05
pi-1.50,1,158,3.457928304e-07,1.374957050e-05
pi-1.50,2,158,7.390462315e-07,1.374957050e-05
pi-1.50,3,158,1.186568459e-06,1.374957050e-05
pi-1.50,4,158,1.696085312e-06,1.374957050e-05
pi-1.50,5,158,2.242036574e-06,1.374957050e-05
pi-1.50,6,158,2.728788634e-06,1.374957050e-05
pi-1.50,7,158,3.156170042e-06,1.374957050e-05
pi-1.50,8,158,3.531869760e-06,1.374957050e-05
pi-1.50,9,158,3.862049691e-06,1.374957050e-05
pi-1.50,10,158,4.151961149e-06,1.374957050e-05
pi-1.50,11,158,4.406719149e-06,1.374957050e-05
pi-1.50,12,158,4.630479836e-06,1.374957050e-05
pi-1.50,13,158,4.827106181e-06,1.374957050e-05
pi-1.50,14,158,5.000000000e-06,1.374957050e-05
pi-1.50,15,158,5.162361207e-06,1.374957050e-05
pi-1.50,16,158,5.345713707e-06,1.374957050e-05
pi-1.50,17,158,5.552871476e-06,1.374957050e-05
pi-1.50,18,158,5.786922010e-06,1.374957050e-05
pi-1.50,19,158,6.051346669e-06,1.374957050e-05
pi-1.50,20,158,6.350333592e-06,1.374957050e-05
pi-1.50,21,158,6.687926793e-06,1.374957050e-05
pi-1.50,22,158,7.069311812e-06,1.374957050e-05
pi-1.50,23,158,7.500000000e-06,1.374957050e-05
pi-1.50,24,158,7.930688188e-06,1.374957050e-05
pi-1.50,25,158,8.312073207e-06,1.374957050e-05
pi-1.50,26,158,8.649666408e-06,1.374957050e-05
pi-1.50,27,158,8.948653331e-06,1.374957050e-05
pi-1.50,28,158,9.213077990e-06,1.374957050e-05
pi-1.50,29,158,9.447128524e-06,1.374957050e-05
pi-1.50,30,158,9.654286293e-06,1.374957050e-05
pi-1.50,31,158,9.837638793e-06,1.374957050e-05
pi-1.50,32,158,1.000000000e-05,1.374957050e-05
pi-1.50,33,158,1.016521408e-05,1.374957050e-05
pi-1.50,34,158,1.035205666e-05,1.374957050e-05
pi-1.50,35,158,1.056377494e-05,1.374957050e-05
pi-1.50,36,158,1.080333583e-05,1.374957050e-05
pi-1.50,37,158,1.107454247e-05,1.374957050e-05
pi-1.50,38,158,1.138175433e-05,1.374957050e-05
pi-1.50,0,159,0.000000000e+00,1.573460728e-05
pi-1.50,1,159,3.457928304e-07,1.573460728e-05
pi-1.50,2,159,7.390462315e-07,1.573460728e-05
pi-1.50,3,159,1.186568459e-06,1.573460728e-05
pi-1.50,4,159,1.696085312e-06,1.573460728e-05
pi-1.50,5,159,2.242036574e-06,1.573460728e-05
pi-1.50,6,159,2.728788634e-06,1.573460728e-05
pi-1.50,7,159,3.156170042e-06,1.573460728e-05
pi-1.50,8,159,3.531869760e-06,1.573460728e-05
pi-1.50,9,159,3.862049691e-06,1.573460728e-05
pi-1.50,10,159,4.151961149e-06,1.573460728e-05
pi-1.50,11,159,4.406719149e-06,1.573460728e-05
pi-1.50,12,159,4.630479836e-06,1.573460728e-05
pi-1.50,13,159,4.827106181e-06,1.573460728e-05
pi-1.50,14,159,5.000000000e-06,1.573460728e-05
pi-1.50,15,159,5.162361207e-06,1.573460728e-05
pi-1.50,16,159,5.345713707e-06,1.573460728e-05
pi-1.50,17,159,5.552871476e-06,1.573460728e-05
pi-1.50,18,159,5.786922010e-06,1.573460728e-05
pi-1.50,19,159,6.051346669e-06,1.573460728e-05
pi-1.50,20,159,6.350333592e-06,1.573460728e-05
pi-1.50,21,159,6.687926793e-06,1.573460728e-05
pi-1.50,22,159,7.069311812e-06,1.573460728e-05
pi-1.50,23,159,7.500000000e-06,1.573460728e-05
pi-1.50,24,159,7.930688188e-06,1.573460728e-05
pi-1.50,25,159,8.312073207e-06,1.573460728e-05
pi-1.50,26,159,8.649666408e-06,1.573460728e-05
pi-1.50,27,159,8.948653331e-06,1.573460728e-05
pi-1.50,28,159,9.213077990e-06,1.573460728e-05
pi-1.50,29,159,9.447128524e-06,1.573460728e-05
pi-1.50,30,159,9.654286293e-06,1.573460728e-05
pi-1.50,31,159,9.837638793e-06,1.573460728e-05
pi-1.50,32,159,1.000000000e-05,1.573460728e-05
pi-1.50,33,159,1.016521408e-05,1.573460728e-05
pi-1.50,34,159,1.035205666e-05,1.573460728e-05
pi-1.50,35,159,1.056377494e-05,1.573460728e-05
pi-1.50,36,159,1.080333583e-05,1.573460728e-05
pi-1.50,37,159,1.107454247e-05,1.573460728e-05
pi-1.50,38,159,1.138175433e-05,1.573460728e-05
pi-1.50,0,160,0.000000000e+00,1.798108825e-05
pi-1.50,1,160,3.457928304e-07,1.798108825e-05
pi-1.50,2,160,7.390462315e-07,1.798108825e-05
pi-1.50,3,160,1.186568459e-06,1.798108825e-05
pi-1.50,4,160,1.696085312e-06,1.798108825e-05
pi-1.50,5,160,2.242036574e-06,1.798108825e-05
pi-1.50,6,160,2.728788634e-06,1.798108825e-05
pi-1.50,7,160,3.156170042e-06,1.798108825e-05
pi-1.50,8,160,3.531869760e-06,1.798108825e-05
pi-1.50,9,160,3.862049691e-06,1.798108825e-05
pi-1.50,10,160,4.151961149e-06,1.798108825e-05
pi-1.50,11,160,4.406719149e-06,1.798108825e-05
pi-1.50,12,160,4.630479836e-06,1.798108825e-05
pi-1.50,13,160,4.827106181e-06,1.798108825e-05
pi-1.50,14,160,5.000000000e-06,1.798108825e-05
pi-1.50,15,160,5.162361207e-06,1.798108825e-05
pi-1.50,16,160,5.345713707e-06,1.798108825e-05
pi-1.50,17,160,5.552871476e-06,1.798108825e-05
pi-1.50,18,160,5.786922010e-06,1.798108825e-05
pi-1.50,19,160,6.051346669e-06,1.798108825e-05
pi-1.50,20,160,6.350333592e-06,1.798108825e-05
pi-1.50,21,160,6.687926793e-06,1.798108825e-05
pi-1.50,22,160,7.069311812e-06,1.798108825e-05
pi-1.50,23,160,7.500000000e-06,1.798108825e-05
pi-1.50,24,160,7.930688188e-06,1.798108825e-05
pi-1.50,25,160,8.312073207e-06,1.798108825e-05
pi-1.50,26,160,8.649666408e-06,1.798108825e-05
pi-1.50,27,160,8.948653331e-06,1.798108825e-05
pi-1.50,28,160,9.213077990e-06,1.798108825e-05
pi-1.50,29,160,9.447128524e-06,1.798108825e-05
pi-1.50,30,160,9.654286293e-06,1.798108825e-05
pi-1.50,31,160,9.837638793e-06,1.798108825e-05
pi-1.50,32,160,1.000000000e-05,1.798108825e-05
pi-1.50,33,160,1.016521408e-05,1.798108825e-05
pi-1.50,34,160,1.035205666e-05,1.798108825e-05
pi-1.50,35,160,1.056377494e-05,1.798108825e-05
pi-1.50,36,160,1.080333583e-05,1.798108825e-05
pi-1.50,37,160,1.107454247e-05,1.798108825e-05
pi-1.50,38,160,1.138175433e-05,1.798108825e-05
pi-1.50,0,161,0.000000000e+00,2.052434532e-05
pi-1.50,1,161,3.457928304e-07,2.052434532e-05
pi-1.50,2,161,7.390462315e-07,2.052434532e-05
pi-1.50,3,161,1.186568459e-06,2.052434532e-05
pi-1.50,4,161,1.696085312e-06,2.052434532e-05
pi-1.50,5,161,2.242036574e-06,2.052434532e-05
pi-1.50,6,161,2.728788634e-06,2.052434532e-05
pi-1.50,7,161,3.156170042e-06,2.052434532e-05
pi-1.50,8,161,3.531869760e-06,2.052434532e-05
pi-1.50,9,161,3.862049691e-06,2.052434532e-05
pi-1.50,10,161,4.151961149e-06,2.052434532e-05
pi-1.50,11,161,4.406719149e-06,2.052434532e-05
pi-1.50,12,161,4.630479836e-06,2.052434532e-05
pi-1.50,13,161,4.827106181e-06,2.052434532e-05
pi-1.50,14,161,5.000000000e-06,2.052434532e-05
pi-1.50,15,161,5.162361207e-06,2.052434532e-05
pi-1.50,16,161,5.345713707e-06,2.052434532e-05
pi-1.50,17,161,5.552871476e-06,2.052434532e-05
pi-1.50,18,161,5.786922010e-06,2.052434532e-05
pi-1.50,19,161,6.051346669e-06,2.052434532e-05
pi-1.50,20,161,6.350333592e-06,2.052434532e-05
pi-1.50,21,161,6.687926793e-06,2.052434532e-05
pi-1.50,22,161,7.069311812e-06,2.052434532e-05
pi-1.50,23,161,7.500000000e-06,2.052434532e-05
pi-1.50,24,161,7.930688188e-06,2.052434532e-05
pi-1.50,25,161,8.312073207e-06,2.052434532e-05
pi-1.50,26,161,8.649666408e-06,2.052434532e-05
pi-1.50,27,161,8.948653331e-06,2.052434532e-05
pi-1.50,28,161,9.213077990e-06,2.052434532e-05
pi-1.50,29,161,9.447128524e-06,2.052434532e-05
pi-1.50,30,161,9.654286293e-06,2.052434532e-05
pi-1.50,31,161,9.837638793e-06,2.052434532e-05
pi-1.50,32,161,1.000000000e-05,2.052434532e-05
pi-1.50,33,161,1.016521408e-05,2.052434532e-05
pi-1.50,34,161,1.035205666e-05,2.052434532e-05
pi-1.50,35,161,1.056377494e-05,2.052434532e-05
pi-1.50,36,161,1.080333583e-05,2.052434532e-05
pi-1.50,37,161,1.107454247e-05,2.052434532e-05
pi-1.50,38,161,1.138175433e-05,2.052434532e-05
pi-1.50,0,162,0.000000000e+00,2.340497168e-05
pi-1.50,1,162,3.457928304e-07,2.340497168e-05
pi-1.50,2,162,7.390462315e-07,2.340497168e-05
pi-1.50,3,162,1.186568459e-06,2.340497168e-05
pi-1.50,4,162,1.696085312e-06,2.340497168e-05
pi-1.50,5,162,2.242036574e-06,2.340497168e-05
pi-1.50,6,162,2.728788634e-06,2.340497168e-05
pi-1.50,7,162,3.156170042e-06,2.340497168e-05
pi-1.50,8,162,3.531869760e-06,2.340497168e-05
pi-1.50,9,162,3.862049691e-06,2.340497168e-05
pi-1.50,10,162,4.151961149e-06,2.340497168e-05
pi-1.50,11,162,4.406719149e-06,2.340497168e-05
pi-1.50,12,162,4.630479836e-06,2.340497168e-05
pi-1.50,13,162,4.827106181e-06,2.340497168e-05
pi-1.50,14,162,5.000000000e-06,2.340497168e-05
pi-1.50,15,162,5.162361207e-06,2.340497168e-05
pi-1.50,16,162,5.345713707e-06,2.340497168e-05
pi-1.50,17,162,5.552871476e-06,2.340497168e-05
pi-1.50,18,162,5.786922010e-06,2.340497168e-05
pi-1.50,19,162,6.051346669e-06,2.340497168e-05
pi-1.50,20,162,6.350333592e-06,2.340497168e-05
pi-1.50,21,162,6.687926793e-06,2.340497168e-05
pi-1.50,22,162,7.069311812e-06,2.340497168e-05
pi-1.50,23,162,7.500000000e-06,2.340497168e-05
pi-1.50,24,162,7.930688188e-06,2.340497168e-05
pi-1.50,25,162,8.312073207e-06,2.340497168e-05
pi-1.50,26,162,8.649666408e-06,2.340497168e-05
pi-1.50,27,162,8.948653331e-06,2.340497168e-05
pi-1.50,28,162,9.213077990e-06,2.340497168e-05
pi-1.50,29,162,9.447128524e-06,2.340497168e-05
pi-1.50,30,162,9.654286293e-06,2.340497168e-05
pi-1.50,31,162,9.837638793e-06,2.340497168e-05
pi-1.50,32,162,1.000000000e-05,2.340497168e-05
pi-1.50,33,162,1.016521408e-05,2.340497168e-05
pi-1.50,34,162,1.035205666e-05,2.340497168e-05
pi-1.50,35,162,1.056377494e-05,2.340497168e-05
pi-1.50,36,162,1.080333583e-05,2.340497168e-05
pi-1.50,37,162,1.107454247e-05,2.340497168e-05
pi-1.50,38,162,1.138175433e-05,2.340497168e-05
pi-1.50,0,163,0.000000000e+00,2.666721281e-05
pi-1.50,1,163,3.457928304e-07,2.666721281e-05
pi-1.50,2,163,7.390462315e-07,2.666721281e-05
pi-1.50,3,163,1.186568459e-06,2.666721281e-05
pi-1.50,4,163,1.696085312e-06,2.666721281e-05
pi-1.50,5,163,2.242036574e-06,2.666721281e-05
pi-1.50,6,163,2.728788634e-06,2.666721281e-05
pi-1.50,7,163,3.156170042e-06,2.666721281e-05
pi-1.50,8,163,3.531869760e-06,2.666721281e-05
pi-1.50,9,163,3.862049691e-06,2.666721281e-05
pi-1.50,10,163,4.151961149e-06,2.666721281e-05
pi-1.50,11,163,4.406719149e-06,2.666721281e-05
pi-1.50,12,163,4.630479836e-06,2.666721281e-05
pi-1.50,13,163,4.827106181e-06,2.666721281e-05
pi-1.50,14,163,5.000000000e-06,2.666721281e-05
pi-1.50,15,163,5.162361207e-06,2.666721281e-05
pi-1.50,16,163,5.345713707e-06,2.666721281e-05
pi-1.50,17,163,5.552871476e-06,2.666721281e-05
pi-1.50,18,163,5.786922010e-06,2.666721281e-05
pi-1.50,19,163,6.051346669e-06,2.666721281e-05
pi-1.50,20,163,6.350333592e-06,2.666721281e-05
pi-1.50,21,163,6.687926793e-06,2.666721281e-05
pi-1.50,22,163,7.069311812e-06,2.666721281e-05
pi-1.50,23,163,7.500000000e-06,2.666721281e-05
pi-1.50,24,163,7.930688188e-06,2.666721281e-05
pi-1.50,25,163,8.312073207e-06,2.666721281e-05
pi-1.50,26,163,8.649666408e-06,2.666721281e-05
pi-1.50,27,163,8.948653331e-06,2.666721281e-05
pi-1.50,28,163,9.213077990e-06,2.666721281e-05
pi-1.50,29,163,9.447128524e-06,2.666721281e-05
pi-1.50,30,163,9.654286293e-06,2.666721281e-05
pi-1.50,31,163,9.837638793e-06,2.666721281e-05
pi-1.50,32,163,1.000000000e-05,2.666721281e-05
pi-1.50,33,163,1.016521408e-05,2.666721281e-05
pi-1.50,34,163,1.035205666e-05,2.666721281e-05
pi-1.50,35,163,1.056377494e-05,2.666721281e-05
pi-1.50,36,163,1.080333583e-05,2.666721281e-05
pi-1.50,37,163,1.107454247e-05,2.666721281e-05
pi-1.50,38,163,1.138175433e-05,2.666721281e-05
pi-1.50,0,164,0.000000000e+00,3.036037584e-05
pi-1.50,1,164,3.457928304e-07,3.036037584e-05
pi-1.50,2,164,7.390462315e-07,3.036037584e-05
pi-1.50,3,164,1.186568459e-06,3.036037584e-05
pi-1.50,4,164,1.696085312e-06,3.036037584e-05
pi-1.50,5,164,2.242036574e-06,3.036037584e-05
pi-1.50,6,164,2.728788634e-06,3.036037584e-05
pi-1.50,7,164,3.156170042e-06,3.036037584e-05
pi-1.50,8,164,3.531869760e-06,3.036037584e-05
pi-1.50,9,164,3.862049691e-06,3.036037584e-05
pi-1.50,10,164,4.151961149e-06,3.036037584e-05
pi-1.50,11,164,4.406719149e-06,3.036037584e-05
pi-1.50,12,164,4.630479836e-06,3.036037584e-05
pi-1.50,13,164,4.827106181e-06,3.036037584e-05
pi-1.50,14,164,5.000000000e-06,3.036037584e-05
pi-1.50,15,164,5.162361207e-06,3.036037584e-05
pi-1.50,16,164,5.345713707e-06,3.036037584e-05
pi-1.50,17,164,5.552871476e-06,3.036037584e-05
pi-1.50,18,164,5.786922010e-06,3.036037584e-05
pi-1.50,19,164,6.051346669e-06,3.036037584e-05
pi-1.50,20,164,6.350333592e-06,3.036037584e-05
pi-1.50,21,164,6.687926793e-06,3.036037584e-05
pi-1.50,22,164,7.069311812e-06,3.036037584e-05
pi-1.50,23,164,7.500000000e-06,3.036037584e-05
pi-1.50,24,164,7.930688188e-06,3.036037584e-05
pi-1.50,25,164,8.312073207e-06,3.036037584e-05
pi-1.50,26,164,8.649666408e-06,3.036037584e-05
pi-1.50,27,164,8.948653331e-06,3.036037584e-05
pi-1.50,28,164,9.213077990e-06,3.036037584e-05
pi-1.50,29,164,9.447128524e-06,3.036037584e-05
pi-1.50,30,164,9.654286293e-06,3.036037584e-05
pi-1.50,31,164,9.837638793e-06,3.036037584e-05
pi-1.50,32,164,1.000000000e-05,3.036037584e-05
pi-1.50,33,164,1.016521408e-05,3.036037584e-05
pi-1.50,34,164,1.035205666e-05,3.036037584e-05
pi-1.50,35,164,1.056377494e-05,3.036037584e-05
pi-1.50,36,164,1.080333583e-05,3.036037584e-05
pi-1.50,37,164,1.107454247e-05,3.036037584e-05
pi-1.50,38,164,1.138175433e-05,3.036037584e-05
pi-1.50,0,165,0.000000000e+00,3.454399116e-05
pi-1.50,1,165,3.457928304e-07,3.454399116e-05
pi-1.50,2,165,7.390462315e-07,3.454399116e-05
pi-1.50,3,165,1.186568459e-06,3.454399116e-05
pi-1.50,4,165,1.696085312e-06,3.454399116e-05
pi-1.50,5,165,2.242036574e-06,3.454399116e-05
pi-1.50,6,165,2.728788634e-06,3.454399116e-05
pi-1.50,7,165,3.156170042e-06,3.454399116e-05
pi-1.50,8,165,3.531869760e-06,3.454399116e-05
pi-1.50,9,165,3.862049691e-06,3.454399116e-05
pi-1.50,10,165,4.151961149e-06,3.454399116e-05
pi-1.50,11,165,4.406719149e-06,3.454399116e-05
pi-1.50,12,165,4.630479836e-06,3.454399116e-05
pi-1.50,13,165,4.827106181e-06,3.454399116e-05
pi-1.50,14,165,5.000000000e-06,3.454399116e-05
pi-1.50,15,165,5.162361207e-06,3.454399116e-05
pi-1.50,16,165,5.345713707e-06,3.454399116e-05
pi-1.50,17,165,5.552871476e-06,3.454399116e-05
pi-1.50,18,165,5.786922010e-06,3.454399116e-05
pi-1.50,19,165,6.051346669e-06,3.454399116e-05
pi-1.50,20,165,6.350333592e-06,3.454399116e-05
pi-1.50,21,165,6.687926793e-06,3.454399116e-05
pi-1.50,22,165,7.069311812e-06,3.454399116e-05
pi-1.50,23,165,7.500000000e-06,3.454399116e-05
pi-1.50,24,165,7.930688188e-06,3.454399116e-05
pi-1.50,25,165,8.312073207e-06,3.454399116e-05
pi-1.50,26,165,8.649666408e-06,3.454399116e-05
pi-1.50,27,165,8.948653331e-06,3.454399116e-05
pi-1.50,28,165,9.213077990e-06,3.454399116e-05
pi-1.50,29,165,9.447128524e-06,3.454399116e-05
pi-1.50,30,165,9.654286293e-06,3.454399116e-05
pi-1.50,31,165,9.837638793e-06,3.454399116e-05
pi-1.50,32,165,1.000000000e-05,3.454399116e-05
pi-1.50,33,165,1.016521408e-05,3.454399116e-05
pi-1.50,34,165,1.035205666e-05,3.454399116e-05
pi-1.50,35,165,1.056377494e-05,3.454399116e-05
pi-1.50,36,165,1.080333583e-05,3.454399116e-05
pi-1.50,37,165,1.107454247e-05,3.454399116e-05
pi-1.50,38,165,1.138175433e-05,3.454399116e-05
pi-1.50,0,166,0.000000000e+00,3.927775048e-05
pi-1.50,1,166,3.457928304e-07,3.927775048e-05
pi-1.50,2,166,7.390462315e-07,3.927775048e-05
pi-1.50,3,166,1.186568459e-06,3.927775048e-05
pi-1.50,4,166,1.696085312e-06,3.927775048e-05
pi-1.50,5,166,2.242036574e-06,3.927775048e-05
pi-1.50,6,166,2.728788634e-06,3.927775048e-05
pi-1.50,7,166,3.156170042e-06,3.927775048e-05
pi-1.50,8,166,3.531869760e-06,3.927775048e-05
pi-1.50,9,166,3.862049691e-06,3.927775048e-05
pi-1.50,10,166,4.151961149e-06,3.927775048e-05
pi-1.50,11,166,4.406719149e-06,3.927775048e-05
pi-1.50,12,166,4.630479836e-06,3.927775048e-05
pi-1.50,13,166,4.827106181e-06,3.927775048e-05
pi-1.50,14,166,5.000000000e-06,3.927775048e-05
pi-1.50,15,166,5.162361207e-06,3.927775048e-05
pi-1.50,16,166,5.345713707e-06,3.927775048e-05
pi-1.50,17,166,5.552871476e-06,3.927775048e-05
pi-1.50,18,166,5.786922010e-06,3.927775048e-05
pi-1.50,19,166,6.051346669e-06,3.927775048e-05
pi-1.50,20,166,6.350333592e-06,3.927775048e-05
pi-1.50,21,166,6.687926793e-06,3.927775048e-05
pi-1.50,22,166,7.069311812e-06,3.927775048e-05
pi-1.50,23,166,7.500000000e-06,3.927775048e-05
pi-1.50,24,166,7.930688188e-06,3.927775048e-05
pi-1.50,25,166,8.312073207e-06,3.927775048e-05
pi-1.50,26,166,8.649666408e-06,3.927775048e-05
pi-1.50,27,166,8.948653331e-06,3.927775048e-05
pi-1.50,28,166,9.213077990e-06,3.927775048e-05
pi-1.50,29,166,9.447128524e-06,3.927775048e-05
pi-1.50,30,166,9.654286293e-06,3.927775048e-05
pi-1.50,31,166,9.837638793e-06,3.927775048e-05
pi-1.50,32,166,1.000000000e-05,3.927775048e-05
pi-1.50,33,166,1.016521408e-05,3.927775048e-05
pi-1.50,34,166,1.035205666e-05,3.927775048e-05
pi-1.50,35,166,1.056377494e-05,3.927775048e-05
pi-1.50,36,166,1.080333583e-05,3.927775048e-05
pi-1.50,37,166,1.107454247e-05,3.927775048e-05
pi-1.50,38,166,1.138175433e-05,3.927775048e-05
pi-1.50,0,167,0.000000000e+00,4.463907013e-05
pi-1.50,1,167,3.457928304e-07,4.463907013e-05
pi-1.50,2,167,7.390462315e-07,4.463907013e-05
pi-1.50,3,167,1.186568459e-06,4.463907013e-05
pi-1.50,4,167,1.696085312e-06,4.463907013e-05
pi-1.50,5,167,2.242036574e-06,4.463907013e-05
pi-1.50,6,167,2.728788634e-06,4.463907013e-05
