# Apexhoehe und Kruemmung ueber dem dimensionslosen Druck Pi.
# Punkte ausserhalb |Pi| <= 2 werden NICHT gerechnet, sondern mit ihrem
# Status ausgewiesen -- keine Ersatzform, kein letzter Iterationsstand.
Pi,delta_p_Pa,status,h_over_a_num,h_over_a_ana,kappa_num_1_per_m,kappa_ana_1_per_m,area_over_a2_num,volume_over_a3_num,psi_contact_deg
9.700000000e-01,8.768800000e+03,Solved,2.587337096e-01,2.587337096e-01,1.940000630e+05,1.940000000e+05,3.351900707e+00,4.154869245e-01,2.901247241e+01
9.800000000e-01,8.859200000e+03,Solved,2.617909532e-01,2.617909533e-01,1.960000651e+05,1.960000000e+05,3.356900145e+00,4.206145267e-01,2.934058157e+01
9.900000000e-01,8.949600000e+03,Solved,2.648626791e-01,2.648626791e-01,1.980000673e+05,1.980000000e+05,3.361982412e+00,4.257741603e-01,2.966975034e+01
1.000000000e+00,9.040000000e+03,Solved,2.679491924e-01,2.679491924e-01,2.000000695e+05,2.000000000e+05,3.367148858e+00,4.309665410e-01,3.000000000e+01
1.010000000e+00,9.130400000e+03,Solved,2.710508062e-01,2.710508062e-01,2.020000717e+05,2.020000000e+05,3.372400878e+00,4.361924033e-01,3.033135236e+01
1.020000000e+00,9.220800000e+03,Solved,2.741678413e-01,2.741678413e-01,2.040000740e+05,2.040000000e+05,3.377739907e+00,4.414525018e-01,3.066382974e+01
1.030000000e+00,9.311200000e+03,Solved,2.773006266e-01,2.773006267e-01,2.060000764e+05,2.060000000e+05,3.383167424e+00,4.467476116e-01,3.099745499e+01
1.040000000e+00,9.401600000e+03,Solved,2.804494996e-01,2.804494997e-01,2.080000788e+05,2.080000000e+05,3.388684953e+00,4.520785292e-01,3.133225150e+01
1.050000000e+00,9.492000000e+03,Solved,2.836148066e-01,2.836148066e-01,2.100000813e+05,2.100000000e+05,3.394294068e+00,4.574460735e-01,3.166824325e+01
1.060000000e+00,9.582400000e+03,Solved,2.867969028e-01,2.867969028e-01,2.120000838e+05,2.120000000e+05,3.399996389e+00,4.628510866e-01,3.200545483e+01
1.070000000e+00,9.672800000e+03,Solved,2.899961531e-01,2.899961532e-01,2.140000864e+05,2.140000000e+05,3.405793586e+00,4.682944345e-01,3.234391141e+01
1.080000000e+00,9.763200000e+03,Solved,2.932129323e-01,2.932129324e-01,2.160000891e+05,2.160000000e+05,3.411687387e+00,4.737770086e-01,3.268363885e+01
1.090000000e+00,9.853600000e+03,Solved,2.964476255e-01,2.964476256e-01,2.180000918e+05,2.180000000e+05,3.417679569e+00,4.792997264e-01,3.302466363e+01
1.100000000e+00,9.944000000e+03,Solved,2.997006283e-01,2.997006283e-01,2.200000945e+05,2.200000000e+05,3.423771972e+00,4.848635325e-01,3.336701297e+01
1.110000000e+00,1.003440000e+04,Solved,3.029723475e-01,3.029723475e-01,2.220000974e+05,2.220000000e+05,3.429966491e+00,4.904694003e-01,3.371071478e+01
1.120000000e+00,1.012480000e+04,Solved,3.062632016e-01,3.062632016e-01,2.240000251e+05,2.240000000e+05,3.436265087e+00,4.961183326e-01,3.405579774e+01
1.130000000e+00,1.021520000e+04,Solved,3.095736211e-01,3.095736211e-01,2.260000259e+05,2.260000000e+05,3.442669783e+00,5.018113631e-01,3.440229131e+01
1.140000000e+00,1.030560000e+04,Solved,3.129040490e-01,3.129040490e-01,2.280000266e+05,2.280000000e+05,3.449182672e+00,5.075495579e-01,3.475022575e+01
1.150000000e+00,1.039600000e+04,Solved,3.162549416e-01,3.162549416e-01,2.300000274e+05,2.300000000e+05,3.455805917e+00,5.133340167e-01,3.509963220e+01
1.160000000e+00,1.048640000e+04,Solved,3.196267687e-01,3.196267687e-01,2.320000282e+05,2.320000000e+05,3.462541753e+00,5.191658747e-01,3.545054264e+01
1.170000000e+00,1.057680000e+04,Solved,3.230200144e-01,3.230200144e-01,2.340000290e+05,2.340000000e+05,3.469392493e+00,5.250463037e-01,3.580299001e+01
1.180000000e+00,1.066720000e+04,Solved,3.264351780e-01,3.264351780e-01,2.360000298e+05,2.360000000e+05,3.476360533e+00,5.309765139e-01,3.615700820e+01
1.190000000e+00,1.075760000e+04,Solved,3.298727740e-01,3.298727740e-01,2.380000307e+05,2.380000000e+05,3.483448347e+00,5.369577560e-01,3.651263210e+01
1.200000000e+00,1.084800000e+04,Solved,3.333333333e-01,3.333333333e-01,2.400000315e+05,2.400000000e+05,3.490658504e+00,5.429913228e-01,3.686989765e+01
1.210000000e+00,1.093840000e+04,Solved,3.368174040e-01,3.368174040e-01,2.420000324e+05,2.420000000e+05,3.497993660e+00,5.490785513e-01,3.722884188e+01
1.220000000e+00,1.102880000e+04,Solved,3.403255518e-01,3.403255518e-01,2.440000333e+05,2.440000000e+05,3.505456568e+00,5.552208245e-01,3.758950296e+01
1.230000000e+00,1.111920000e+04,Solved,3.438583610e-01,3.438583610e-01,2.460000342e+05,2.460000000e+05,3.513050084e+00,5.614195743e-01,3.795192029e+01
1.240000000e+00,1.120960000e+04,Solved,3.474164357e-01,3.474164357e-01,2.480000352e+05,2.480000000e+05,3.520777169e+00,5.676762833e-01,3.831613447e+01
1.250000000e+00,1.130000000e+04,Solved,3.510004003e-01,3.510004003e-01,2.500000362e+05,2.500000000e+05,3.528640893e+00,5.739924873e-01,3.868218745e+01
1.260000000e+00,1.139040000e+04,Solved,3.546109006e-01,3.546109006e-01,2.520000371e+05,2.520000000e+05,3.536644445e+00,5.803697787e-01,3.905012254e+01
1.270000000e+00,1.148080000e+04,Solved,3.582486050e-01,3.582486050e-01,2.540000382e+05,2.540000000e+05,3.544791136e+00,5.868098084e-01,3.941998447e+01
1.280000000e+00,1.157120000e+04,Solved,3.619142055e-01,3.619142055e-01,2.560000392e+05,2.560000000e+05,3.553084404e+00,5.933142895e-01,3.979181950e+01
1.290000000e+00,1.166160000e+04,Solved,3.656084189e-01,3.656084189e-01,2.580000402e+05,2.580000000e+05,3.561527823e+00,5.998850003e-01,4.016567547e+01
1.300000000e+00,1.175200000e+04,Solved,3.693319882e-01,3.693319882e-01,2.600000413e+05,2.600000000e+05,3.570125110e+00,6.065237878e-01,4.054160187e+01
1.310000000e+00,1.184240000e+04,Solved,3.730856837e-01,3.730856837e-01,2.620000424e+05,2.620000000e+05,3.578880132e+00,6.132325712e-01,4.091964995e+01
1.320000000e+00,1.193280000e+04,Solved,3.768703048e-01,3.768703048e-01,2.640000435e+05,2.640000000e+05,3.587796912e+00,6.200133462e-01,4.129987279e+01
1.330000000e+00,1.202320000e+04,Solved,3.806866811e-01,3.806866811e-01,2.660000447e+05,2.660000000e+05,3.596879641e+00,6.268681890e-01,4.168232539e+01
1.340000000e+00,1.211360000e+04,Solved,3.845356744e-01,3.845356744e-01,2.680000458e+05,2.680000000e+05,3.606132686e+00,6.337992607e-01,4.206706480e+01
1.350000000e+00,1.220400000e+04,Solved,3.884181805e-01,3.884181805e-01,2.700000470e+05,2.700000000e+05,3.615560600e+00,6.408088124e-01,4.245415020e+01
1.360000000e+00,1.229440000e+04,Solved,3.923351306e-01,3.923351306e-01,2.720000483e+05,2.720000000e+05,3.625168129e+00,6.478991899e-01,4.284364304e+01
1.370000000e+00,1.238480000e+04,Solved,3.962874939e-01,3.962874939e-01,2.740000495e+05,2.740000000e+05,3.634960232e+00,6.550728400e-01,4.323560715e+01
1.380000000e+00,1.247520000e+04,Solved,4.002762795e-01,4.002762795e-01,2.760000508e+05,2.760000000e+05,3.644942084e+00,6.623323157e-01,4.363010887e+01
1.390000000e+00,1.256560000e+04,Solved,4.043025386e-01,4.043025386e-01,2.780000521e+05,2.780000000e+05,3.655119094e+00,6.696802831e-01,4.402721721e+01
1.400000000e+00,1.265600000e+04,Solved,4.083673673e-01,4.083673674e-01,2.800000534e+05,2.800000000e+05,3.665496918e+00,6.771195281e-01,4.442700400e+01
1.410000000e+00,1.274640000e+04,Solved,4.124719093e-01,4.124719093e-01,2.820000548e+05,2.820000000e+05,3.676081475e+00,6.846529641e-01,4.482954405e+01
1.420000000e+00,1.283680000e+04,Solved,4.166173582e-01,4.166173582e-01,2.840000562e+05,2.840000000e+05,3.686878963e+00,6.922836396e-01,4.523491533e+01
1.430000000e+00,1.292720000e+04,Solved,4.208049616e-01,4.208049616e-01,2.860000576e+05,2.860000000e+05,3.697895877e+00,7.000147474e-01,4.564319916e+01
1.440000000e+00,1.301760000e+04,Solved,4.250360237e-01,4.250360237e-01,2.880000590e+05,2.880000000e+05,3.709139027e+00,7.078496338e-01,4.605448044e+01
1.450000000e+00,1.310800000e+04,Solved,4.293119094e-01,4.293119094e-01,2.900000605e+05,2.900000000e+05,3.720615560e+00,7.157918086e-01,4.646884783e+01
1.460000000e+00,1.319840000e+04,Solved,4.336340479e-01,4.336340480e-01,2.920000620e+05,2.920000000e+05,3.732332985e+00,7.238449565e-01,4.688639405e+01
1.470000000e+00,1.328880000e+04,Solved,4.380039376e-01,4.380039377e-01,2.940000636e+05,2.940000000e+05,3.744299191e+00,7.320129492e-01,4.730721610e+01
1.480000000e+00,1.337920000e+04,Solved,4.424231502e-01,4.424231502e-01,2.960000652e+05,2.960000000e+05,3.756522482e+00,7.402998579e-01,4.773141557e+01
1.490000000e+00,1.346960000e+04,Solved,4.468933360e-01,4.468933360e-01,2.980000668e+05,2.980000000e+05,3.769011601e+00,7.487099685e-01,4.815909893e+01
1.500000000e+00,1.356000000e+04,Solved,4.514162296e-01,4.514162296e-01,3.000000685e+05,3.000000000e+05,3.781775762e+00,7.572477962e-01,4.859037789e+01
1.510000000e+00,1.365040000e+04,Solved,4.559936558e-01,4.559936559e-01,3.020000702e+05,3.020000000e+05,3.794824687e+00,7.659181035e-01,4.902536977e+01
1.520000000e+00,1.374080000e+04,Solved,4.606275363e-01,4.606275364e-01,3.040000719e+05,3.040000000e+05,3.808168643e+00,7.747259181e-01,4.946419789e+01
1.530000000e+00,1.383120000e+04,Solved,4.653198970e-01,4.653198970e-01,3.060000737e+05,3.060000000e+05,3.821818484e+00,7.836765538e-01,4.990699201e+01
1.540000000e+00,1.392160000e+04,Solved,4.700728758e-01,4.700728758e-01,3.080000755e+05,3.080000000e+05,3.835785697e+00,7.927756333e-01,5.035388885e+01
1.550000000e+00,1.401200000e+04,Solved,4.748887316e-01,4.748887316e-01,3.100000773e+05,3.100000000e+05,3.850082453e+00,8.020291123e-01,5.080503257e+01
1.560000000e+00,1.410240000e+04,Solved,4.797698540e-01,4.797698540e-01,3.120000792e+05,3.120000000e+05,3.864721663e+00,8.114433076e-01,5.126057540e+01
1.570000000e+00,1.419280000e+04,Solved,4.847187736e-01,4.847187736e-01,3.140000812e+05,3.140000000e+05,3.879717040e+00,8.210249270e-01,5.172067826e+01
1.580000000e+00,1.428320000e+04,Solved,4.897381744e-01,4.897381744e-01,3.160000832e+05,3.160000000e+05,3.895083167e+00,8.307811034e-01,5.218551149e+01
1.590000000e+00,1.437360000e+04,Solved,4.948309062e-01,4.948309062e-01,3.180000852e+05,3.180000000e+05,3.910835572e+00,8.407194316e-01,5.265525565e+01
1.600000000e+00,1.446400000e+04,Solved,5.000000000e-01,5.000000000e-01,3.200000873e+05,3.200000000e+05,3.926990817e+00,8.508480103e-01,5.313010235e+01
1.610000000e+00,1.455440000e+04,Solved,5.052486834e-01,5.052486834e-01,3.220000895e+05,3.220000000e+05,3.943566589e+00,8.611754885e-01,5.361025532e+01
1.620000000e+00,1.464480000e+04,Solved,5.105803994e-01,5.105803994e-01,3.240000916e+05,3.240000000e+05,3.960581807e+00,8.717111175e-01,5.409593142e+01
1.630000000e+00,1.473520000e+04,Solved,5.159988265e-01,5.159988265e-01,3.260000939e+05,3.260000000e+05,3.978056742e+00,8.824648093e-01,5.458736189e+01
1.640000000e+00,1.482560000e+04,Solved,5.215079014e-01,5.215079014e-01,3.280000962e+05,3.280000000e+05,3.996013151e+00,8.934472026e-01,5.508479375e+01
1.650000000e+00,1.491600000e+04,Solved,5.271118451e-01,5.271118451e-01,3.300000986e+05,3.300000000e+05,4.014474425e+00,9.046697369e-01,5.558849133e+01
1.660000000e+00,1.500640000e+04,Solved,5.328151919e-01,5.328151919e-01,3.320001010e+05,3.320000000e+05,4.033465765e+00,9.161447369e-01,5.609873800e+01
1.670000000e+00,1.509680000e+04,Solved,5.386228225e-01,5.386228225e-01,3.340001035e+05,3.340000000e+05,4.053014377e+00,9.278855079e-01,5.661583819e+01
1.680000000e+00,1.518720000e+04,Solved,5.445400016e-01,5.445400016e-01,3.360001060e+05,3.360000000e+05,4.073149687e+00,9.399064457e-01,5.714011962e+01
1.690000000e+00,1.527760000e+04,Solved,5.505724212e-01,5.505724212e-01,3.380001087e+05,3.380000000e+05,4.093903606e+00,9.522231613e-01,5.767193588e+01
1.700000000e+00,1.536800000e+04,Solved,5.567262498e-01,5.567262498e-01,3.400001114e+05,3.400000000e+05,4.115310815e+00,9.648526250e-01,5.821166938e+01
1.710000000e+00,1.545840000e+04,Solved,5.630081898e-01,5.630081898e-01,3.420000286e+05,3.420000000e+05,4.137409107e+00,9.778133330e-01,5.875973478e+01
1.720000000e+00,1.554880000e+04,Solved,5.694255432e-01,5.694255432e-01,3.440000293e+05,3.440000000e+05,4.160239775e+00,9.911254999e-01,5.931658289e+01
1.730000000e+00,1.563920000e+04,Solved,5.759862884e-01,5.759862884e-01,3.460000300e+05,3.460000000e+05,4.183848075e+00,1.004811285e+00,5.988270525e+01
1.740000000e+00,1.572960000e+04,Solved,5.826991708e-01,5.826991708e-01,3.480000308e+05,3.480000000e+05,4.208283757e+00,1.018895054e+00,6.045863950e+01
1.750000000e+00,1.582000000e+04,Solved,5.895738077e-01,5.895738077e-01,3.500000315e+05,3.500000000e+05,4.233601698e+00,1.033403693e+00,6.104497563e+01
1.760000000e+00,1.591040000e+04,Solved,5.966208142e-01,5.966208142e-01,3.520000324e+05,3.520000000e+05,4.259862652e+00,1.048366976e+00,6.164236342e+01
1.770000000e+00,1.600080000e+04,Solved,6.038519523e-01,6.038519523e-01,3.540000332e+05,3.540000000e+05,4.287134140e+00,1.063818006e+00,6.225152130e+01
1.780000000e+00,1.609120000e+04,Solved,6.112803094e-01,6.112803094e-01,3.560000340e+05,3.560000000e+05,4.315491527e+00,1.079793742e+00,6.287324688e+01
1.790000000e+00,1.618160000e+04,Solved,6.189205155e-01,6.189205155e-01,3.580000349e+05,3.580000000e+05,4.345019318e+00,1.096335648e+00,6.350842980e+01
1.800000000e+00,1.627200000e+04,Solved,6.267890063e-01,6.267890063e-01,3.600000358e+05,3.600000000e+05,4.375812750e+00,1.113490467e+00,6.415806724e+01
1.810000000e+00,1.636240000e+04,Solved,6.349043476e-01,6.349043476e-01,3.620000368e+05,3.620000000e+05,4.407979744e+00,1.131311195e+00,6.482328306e+01
1.820000000e+00,1.645280000e+04,Solved,6.432876386e-01,6.432876386e-01,3.640000378e+05,3.640000000e+05,4.441643340e+00,1.149858283e+00,6.550535153e+01
1.830000000e+00,1.654320000e+04,Solved,6.519630178e-01,6.519630178e-01,3.660000388e+05,3.660000000e+05,4.476944758e+00,1.169201145e+00,6.620572705e+01
1.840000000e+00,1.663360000e+04,Solved,6.609583056e-01,6.609583056e-01,3.680000399e+05,3.680000000e+05,4.514047298e+00,1.189420095e+00,6.692608193e+01
1.850000000e+00,1.672400000e+04,Solved,6.703058337e-01,6.703058337e-01,3.700000410e+05,3.700000000e+05,4.553141368e+00,1.210608831e+00,6.766835499e+01
1.860000000e+00,1.681440000e+04,Solved,6.800435280e-01,6.800435280e-01,3.720000421e+05,3.720000000e+05,4.594451079e+00,1.232877704e+00,6.843481498e+01
1.870000000e+00,1.690480000e+04,Solved,6.902163502e-01,6.902163502e-01,3.740000434e+05,3.740000000e+05,4.638243027e+00,1.256358067e+00,6.922814495e+01
1.880000000e+00,1.699520000e+04,Solved,7.008782530e-01,7.008782530e-01,3.760000446e+05,3.760000000e+05,4.684838235e+00,1.281208197e+00,7.005155641e+01
1.890000000e+00,1.708560000e+04,Solved,7.120948901e-01,7.120948901e-01,3.780000460e+05,3.780000000e+05,4.734628731e+00,1.307621513e+00,7.090894749e+01
1.900000000e+00,1.717600000e+04,Solved,7.239474738e-01,7.239474738e-01,3.800000474e+05,3.800000000e+05,4.788101190e+00,1.335838315e+00,7.180512766e+01
1.910000000e+00,1.726640000e+04,Solved,7.365384304e-01,7.365384304e-01,3.820000489e+05,3.820000000e+05,4.845871669e+00,1.366163026e+00,7.274614688e+01
1.920000000e+00,1.735680000e+04,Solved,7.500000000e-01,7.500000000e-01,3.840000505e+05,3.840000000e+05,4.908738521e+00,1.398990479e+00,7.373979529e+01
1.930000000e+00,1.744720000e+04,Solved,7.645078955e-01,7.645078955e-01,3.860000522e+05,3.860000000e+05,4.977766607e+00,1.434847775e+00,7.479639591e+01
1.940000000e+00,1.753760000e+04,Solved,7.803042107e-01,7.803042107e-01,3.880000541e+05,3.880000000e+05,5.054428816e+00,1.474464673e+00,7.593013225e+01
1.950000000e+00,1.762800000e+04,Solved,7.977386047e-01,7.977386047e-01,3.900000562e+05,3.900000000e+05,5.140861005e+00,1.518900461e+00,7.716143186e+01
1.960000000e+00,1.771840000e+04,Solved,8.173495026e-01,8.173495026e-01,3.920000585e+05,3.920000000e+05,5.240365700e+00,1.569794781e+00,7.852165905e+01
1.970000000e+00,1.780880000e+04,Solved,8.400463561e-01,8.400463561e-01,3.940000611e+05,3.940000000e+05,5.358545098e+00,1.629932201e+00,8.006363293e+01
1.980000000e+00,1.789920000e+04,Solved,8.676087275e-01,8.676087275e-01,3.960000161e+05,3.960000000e+05,5.506410514e+00,1.704792705e+00,8.189038554e+01
1.990000000e+00,1.798960000e+04,Solved,9.046483198e-01,9.046483198e-01,3.980000171e+05,3.980000000e+05,5.712636212e+00,1.808666630e+00,8.426803203e+01
2.000000000e+00,1.808000000e+04,HemisphericalLimit,,,,4.000000000e+05,,,
2.010000000e+00,1.817040000e+04,PressureOutsideCapillaryRange,,,,4.020000000e+05,,,
2.020000000e+00,1.826080000e+04,PressureOutsideCapillaryRange,,,,4.040000000e+05,,,
2.030000000e+00,1.835120000e+04,PressureOutsideCapillaryRange,,,,4.060000000e+05,,,
2.040000000e+00,1.844160000e+04,PressureOutsideCapillaryRange,,,,4.080000000e+05,,,
2.050000000e+00,1.853200000e+04,PressureOutsideCapillaryRange,,,,4.100000000e+05,,,
2.060000000e+00,1.862240000e+04,PressureOutsideCapillaryRange,,,,4.120000000e+05,,,
2.070000000e+00,1.871280000e+04,PressureOutsideCapillaryRange,,,,4.140000000e+05,,,
2.080000000e+00,1.880320000e+04,PressureOutsideCapillaryRange,,,,4.160000000e+05,,,
2.090000000e+00,1.889360000e+04,PressureOutsideCapillaryRange,,,,4.180000000e+05,,,
2.100000000e+00,1.898400000e+04,PressureOutsideCapillaryRange,,,,4.200000000e+05,,,
